,Track Name,Artist Name,Popularity,Release Year,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
2906,Borderline,Tove Styrke,47,2015,False,0.58,0.931,8,-3.318,0,0.0506,0.000786,3.31e-06,0.0503,0.718,142.012,203427,4
2907,Anywhere,Rita Ora,62,2017,False,0.628,0.797,11,-3.953,0,0.0596,0.0364,0.0,0.104,0.321,106.93,215064,4
2908,Slow (feat. Noah Cyrus),Matoma,33,2017,False,0.5,0.639,6,-5.449,1,0.045,0.0435,6.92e-05,0.176,0.291,138.435,200410,4
2909,Locked Away (feat. Adam Levine),R. City,78,2015,False,0.509,0.671,1,-5.709,1,0.0678,0.304,0.0,0.0452,0.55,118.413,227480,5
2910,Talking Body,Tove Lo,67,2014,True,0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,119.999,238427,4
2911,Cool for the Summer,Demi Lovato,0,2015,True,0.587,0.62,5,-5.612,0,0.0366,0.00504,0.000181,0.0762,0.286,114.08,214740,4
2912,Love Myself,Hailee Steinfeld,0,2015,False,0.616,0.768,0,-6.714,0,0.0781,0.0032,0.0,0.427,0.322,122.91,218773,4
2913,California Gurls,Katy Perry,75,2012,False,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653,4
2914,Party In The U.S.A.,Miley Cyrus,79,2009,False,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4
2915,Burn,Ellie Goulding,60,2013,False,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,231212,4
2916,We Found Love (feat. Rihanna),Calvin Harris,1,2012,False,0.738,0.776,1,-4.808,1,0.0392,0.0234,0.0018,0.0775,0.608,127.984,215520,4
2917,Hotline Bling,Drake,0,2016,False,0.903,0.62,2,-8.094,1,0.0587,0.00347,0.000119,0.0504,0.539,134.96,267067,4
2918,Sugar (feat. Francesco Yates),Robin Schulz,80,2015,False,0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063,219043,4
2919,You Know You Like It,DJ Snake,0,2014,False,0.407,0.725,5,-5.346,0,0.188,0.0141,2.46e-06,0.306,0.247,196.093,247267,4
2920,Same Old Love,Selena Gomez,70,2015,False,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,229080,4
2921,Chandelier,Sia,83,2014,False,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120,5
2923,More Than You Know,Axwell /\ Ingrosso,0,2017,False,0.645,0.741,5,-4.989,0,0.0339,0.0323,0.0,0.29,0.534,123.07,203000,4
2924,Thunder,Imagine Dragons,0,2017,False,0.604,0.826,0,-4.804,1,0.0434,0.00782,0.15,0.154,0.241,167.985,187147,4
2925,Titanium (feat. Sia),David Guetta,83,2012,False,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,4
2926,Cheap Thrills,Sia,78,2016,False,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4
2927,Peanut Butter Jelly,Galantis,67,2015,False,0.708,0.945,5,-3.247,0,0.234,0.00104,0.0803,0.227,0.545,127.96,203133,4
2928,Beautiful Now,Zedd,0,2015,False,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,218293,4
2929,Budapest,George Ezra,0,2014,False,0.714,0.451,5,-8.268,1,0.0276,0.0883,0.0,0.108,0.406,127.787,200720,4
2930,Heartbeat Song,Kelly Clarkson,62,2015,False,0.49,0.798,6,-3.66,1,0.0489,0.0137,0.0,0.0627,0.479,149.109,198733,4
2931,Am I Wrong,Nico & Vinz,78,2014,False,0.729,0.675,8,-6.003,1,0.0312,0.175,1.58e-06,0.55,0.779,119.968,245867,4
2932,Sorry,Justin Bieber,21,2015,False,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,4
2933,Demons,Imagine Dragons,21,2012,False,0.327,0.71,3,-2.928,1,0.0547,0.202,9e-05,0.28,0.416,179.561,175200,4
2934,Dark Horse,Katy Perry,0,2013,False,0.645,0.589,6,-6.131,1,0.0523,0.00396,0.0,0.145,0.35,131.899,215672,4
2935,Rather Be (feat. Jess Glynne),Clean Bandit,76,2014,False,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,4
2936,Starboy,The Weeknd,21,2016,True,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,230453,4
2937,Wasted,Tiësto,0,2014,False,0.638,0.816,2,-5.503,1,0.0308,0.00149,0.00115,0.195,0.386,112.014,190014,4
2938,rockstar,Post Malone,0,2018,True,0.578,0.532,5,-6.636,0,0.066,0.117,8.97e-05,0.143,0.12,159.784,218320,4
2939,Milkshake,Kelis,14,2003,False,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,182627,4
2940,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,83,2010,False,0.722,0.761,11,-4.459,0,0.0475,0.0117,0.0,0.315,0.624,128.044,201493,4
2941,Wiggle (feat. Snoop Dogg),Jason Derulo,66,2013,False,0.697,0.621,9,-6.886,0,0.25,0.0802,0.0,0.162,0.721,81.946,193296,4
2942,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0,2017,False,0.775,0.617,7,-6.166,1,0.0701,0.341,0.0,0.0985,0.485,100.048,214265,4
2943,The Monster,Eminem,0,2013,True,0.784,0.85,9,-3.679,1,0.0691,0.0492,0.0,0.112,0.567,110.004,250189,4
2944,Shake It Off,Taylor Swift,0,2014,False,0.648,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.02,219200,4
2945,Come & Get It,Selena Gomez,0,2013,False,0.349,0.795,7,-4.133,0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,231987,1
2946,Alone,Alan Walker,63,2016,False,0.676,0.929,10,-3.194,1,0.0458,0.186,0.000405,0.121,0.157,97.019,161200,4
2947,Human,Rag'n'Bone Man,82,2017,False,0.602,0.707,9,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.087,200187,4
2948,Skin,Rag'n'Bone Man,69,2017,False,0.564,0.745,0,-7.733,1,0.31,0.265,0.0,0.147,0.351,170.661,239627,4
2949,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,68,2017,True,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613,4
2950,Bad Things (with Camila Cabello),mgk,72,2017,False,0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853,239293,4
2951,Don't Let Me Down (feat. Daya),The Chainsmokers,49,2016,False,0.542,0.859,11,-5.651,1,0.197,0.16,0.00466,0.137,0.403,159.797,208053,4
2952,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,76,2014,False,0.763,0.875,9,-5.797,0,0.0262,0.024,5.41e-06,0.599,0.8,123.013,189413,4
2953,It's Time,Imagine Dragons,69,2012,False,0.656,0.884,2,-4.748,1,0.0372,0.0162,0.0,0.145,0.86,105.009,237987,4
2954,Heartless,Kanye West,0,2008,False,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,211000,4
2955,Stronger,Kanye West,0,2007,True,0.369,0.785,1,-6.269,1,0.2,0.00299,0.0,0.206,0.443,104.033,312893,4
2956,Stole the Show,Kygo,57,2015,False,0.679,0.662,8,-6.069,0,0.174,0.155,0.0,0.152,0.438,99.879,222801,4
2957,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z,0,2009,True,0.495,0.933,11,-3.977,1,0.395,0.0294,0.0,0.503,0.815,173.414,277400,4
2958,Money On My Mind,Sam Smith,31,2013,False,0.685,0.818,2,-6.239,1,0.162,0.202,0.000258,0.183,0.744,133.852,194080,4
2959,Be the One,Dua Lipa,69,2015,False,0.661,0.651,7,-3.771,0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,202915,4
