Track Name,artists,popularity,release_year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
Animals - Danny Olson Remix,Maroon 5,25,2015,False,0.482,0.797,2,-6.187,1,0.219,0.0105,0.0,0.109,0.481,190.084,300053,4,5
Animals - Gryffin Remix,Maroon 5,26,2015,False,0.554,0.825,4,-6.16,0,0.0356,0.018,0.000963,0.0758,0.516,100.986,319120,4,5
Sugar - Remix,Maroon 5,29,2015,False,0.741,0.804,1,-7.138,1,0.0438,0.013,0.0,0.0988,0.702,120.081,234453,4,5
All We Do,Oh Wonder,5,2020,False,0.591,0.26,10,-10.85,0,0.0467,0.978,0.000484,0.109,0.397,126.269,214203,4,3
Little Sister,Chris Burton,4,2020,False,0.405,0.381,1,-7.369,1,0.0521,0.383,0.0,0.16,0.415,202.0,219642,4,2
Summertime Blue,Elias Boussnina,4,2020,False,0.746,0.565,8,-5.861,0,0.0445,0.312,0.0,0.125,0.441,130.068,185733,4,0
Hurt Somebody,Noah Kahan,5,2020,False,0.633,0.559,6,-5.135,1,0.313,0.336,0.0,0.262,0.473,114.987,168640,4,2
September Song - Guitar Acoustic,JP Cooper,3,2020,False,0.396,0.421,3,-7.9,1,0.0326,0.364,0.0,0.136,0.527,89.579,212153,4,6
Bruises,Lewis Capaldi,5,2020,False,0.746,0.322,1,-7.922,0,0.0798,0.944,0.0,0.197,0.321,110.774,220200,4,2
Pinewood,Elias Boussnina,3,2020,False,0.792,0.726,0,-5.702,1,0.041,0.26,0.00631,0.0883,0.866,117.979,206973,4,1
It Don't Matter,Donavon Frankenreiter,3,2020,False,0.937,0.527,0,-6.305,1,0.0353,0.0968,1.13e-06,0.237,0.763,104.967,186000,4,2
Love Letters,Chris Burton,3,2020,False,0.699,0.679,2,-5.853,0,0.0428,0.0978,0.0,0.166,0.548,143.949,193411,4,2
What A Life,Scarlet Pleasure,4,2020,True,0.716,0.559,9,-5.139,0,0.0435,0.736,1.29e-06,0.0779,0.613,113.743,185942,4,2
Ask For It,Future Animals,4,2020,False,0.873,0.486,2,-9.376,0,0.2,0.0916,1.87e-05,0.109,0.345,92.025,192106,4,0
Better Together,Jack Johnson,3,2020,False,0.874,0.342,5,-9.567,1,0.0502,0.342,8.19e-06,0.111,0.652,110.034,207680,4,2
Nudes,Jada,3,2020,True,0.68,0.452,11,-5.008,0,0.0323,0.449,0.0,0.101,0.244,81.965,198474,1,2
