,Track Name,Artist Name,Popularity,Release Year,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
0,Glamorous,Fergie,0,2006,True,0.811,0.757,0,-6.447,1,0.23,0.298,0.0,0.103,0.565,130.996,246596,4
1,Party In The U.S.A.,Miley Cyrus,60,2009,False,0.478,0.703,10,-4.665,0,0.066,0.000964,7.55e-05,0.0798,0.483,191.957,202760,4
2,What Do You Mean?,Justin Bieber,0,2015,False,0.841,0.571,5,-8.066,0,0.102,0.65,0.00033,0.0895,0.772,125.032,207547,4
3,Fergalicious,Fergie,60,2006,True,0.906,0.584,8,-7.72,0,0.316,0.0576,0.0,0.128,0.831,129.055,292373,4
4,Work,Rihanna,0,2016,True,0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974,219320,4
5,It Wasn't Me,Shaggy,59,2008,False,0.852,0.604,0,-4.569,1,0.0642,0.0503,0.0,0.327,0.667,94.762,227547,4
6,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,0,2007,False,0.693,0.547,1,-8.127,1,0.114,0.0111,0.0,0.0677,0.612,80.028,227960,4
7,Crazy In Love (feat. Jay-Z),Beyoncé,81,2003,False,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133,4
8,Everywhere to Me,Swilson,31,2024,False,0.633,0.607,7,-8.322,1,0.0504,0.00981,0.000125,0.087,0.625,103.948,238846,4
9,Sorry Not Sorry,Demi Lovato,0,2017,True,0.695,0.632,11,-6.922,0,0.261,0.0264,0.0,0.252,0.86,143.794,203760,4
10,Goodies (feat. Petey Pablo),Ciara,72,2004,False,0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,223000,4
11,Sorry,Justin Bieber,85,2015,False,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,4
12,My Humps,Black Eyed Peas,68,2005,False,0.801,0.682,1,-5.919,0,0.225,0.111,1.56e-05,0.109,0.586,123.95,326960,4
13,Hands To Myself,Selena Gomez,66,2015,False,0.811,0.499,5,-7.161,0,0.118,0.0147,2.44e-06,0.342,0.466,111.016,200680,4
14,Hey Ma,Cam'ron,57,2002,False,0.791,0.666,8,-5.484,1,0.341,0.0256,6.33e-06,0.0796,0.938,90.345,232533,4
15,Same Old Love,Selena Gomez,67,2015,False,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02,229080,4
16,I Love It (feat. Charli XCX),Icona Pop,67,2012,True,0.714,0.905,8,-2.663,1,0.0289,0.00855,2.55e-05,0.146,0.838,125.927,155337,4
17,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0,2015,True,0.665,0.782,7,-4.677,0,0.088,0.0363,6.73e-06,0.0875,0.668,101.986,199227,4
18,Shootin' stars,Swilson,34,2024,False,0.755,0.407,7,-8.465,1,0.0298,0.511,6.57e-06,0.162,0.372,99.957,158400,4
